color;player name;platform;player id;car id;car name;game duration;score;goals;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken;result;source_file
blue;hbccs;Epic;b2be6019e55b44c897eb1f3409cb19f4;4284;Fennec;427;1124;7;1;10;8;6;6;70.0;402;43.7;2936;2196;740;30;55;861;600;261;7;15;60.14;31.98;579;713;99;1487;540973;215.89;51.72;129.87;31.11;71.7;17.18;232.68;55.74;169.26;40.54;15.53;3.72;2.98;0.14;21;376.3;376.3;1481;1248;1769;311.68;74.66;105.79;25.34;269.42;64.54;148.05;35.46;204.12;48.89;118.41;28.36;94.94;22.74;0;3;winner;01c429ee-cc80-4bb3-b17d-4003f6b49f65-players.csv
orange;Flowsen;Steam;76561197993140621;4284;Fennec;427;1197;6;3;8;10;7;7;75.0;398;36.37;2578;1700;878;20;77;737;388;349;5;30;81.01;23.47;411;217;111;1492;556240;223.69;52.44;135.48;31.76;67.42;15.8;229.15;53.72;185.43;43.47;12.01;2.82;6.78;0.09;74;375.6;375.6;1618;1363;1821;322.83;75.68;103.76;24.32;249.36;58.45;177.23;41.55;184.11;43.16;136.12;31.91;106.37;24.93;3;0;loser;01c429ee-cc80-4bb3-b17d-4003f6b49f65-players.csv
blue;SC156;Epic;4e67f3631a834088a32924e3f82fc9ad;23;Octane;125;533;4;0;4;1;0;0;100.0;360;39.46;637;510;127;6;11;181;169;12;2;1;18.66;13.63;27;89;30;1289;140421;76.03;60.87;37.36;29.91;11.52;9.22;58.2;46.59;64.48;51.62;2.23;1.79;2.5;0.11;22;106.9;106.9;1469;1403;1500;105.34;84.34;19.56;15.66;71.23;57.03;53.68;42.97;50.39;40.34;37.06;29.67;37.45;29.98;0;0;winner;02bac12b-dffe-49aa-a577-72063aa977b7-players.csv
orange;rodvvz;Epic;4a7a8d18b76647d8b8e71226ed03212b;4284;Fennec;125;52;0;0;1;4;4;4;0.0;367;34.08;500;367;133;5;11;199;163;36;2;3;27.31;9.2;76;132;36;1302;141491;78.27;62.88;33.44;26.87;12.76;10.25;59.21;47.57;58.87;47.29;6.4;5.14;1.2;0.08;15;106.9;106.9;1634;1193;1713;75.4;60.57;49.08;39.43;79.75;64.07;44.72;35.93;57.12;45.89;43.83;35.21;23.53;18.9;0;0;loser;02bac12b-dffe-49aa-a577-72063aa977b7-players.csv
blue;Its_Bryz;Epic;0e56439a876144d6bc207e7e6cefc241;4284;Fennec;390;1061;5;3;6;8;4;4;83.33;365;44.32;2415;1893;522;23;46;751;553;198;8;17;56.34;46.18;181;412;246;1394;490213;227.34;58.32;121.16;31.08;41.29;10.59;209.22;53.67;175.76;45.09;4.82;1.24;7.93;0.13;61;353.6;353.6;1547;1332;1815;310.52;79.66;79.27;20.34;239.19;61.36;150.6;38.64;173.98;44.63;113.03;29.0;102.79;26.37;1;0;winner;0350dbb7-096c-4bfd-9d18-34c727941d8f-players.csv
orange;Agro;Steam;76561198071207779;23;Octane;390;810;4;1;8;6;5;5;50.0;464;46.83;2952;2318;634;29;54;607;381;226;5;19;42.82;40.86;214;430;50;1414;491728;209.3;54.1;132.58;34.27;45.02;11.64;207.77;53.7;164.81;42.6;14.3;3.7;6.24;0.08;78;353.7;353.7;1499;1222;1714;287.83;74.4;99.06;25.6;232.5;60.09;154.39;39.91;162.51;42.01;131.12;33.89;93.25;24.1;0;1;loser;0350dbb7-096c-4bfd-9d18-34c727941d8f-players.csv
blue;SpyroThyKing;Steam;76561198027851902;3622;Artemis GXT;411;971;4;4;7;13;7;7;57.14;438;46.61;3083;2386;697;29;69;637;423;214;5;24;39.3;56.21;452;478;88;1534;558655;189.64;46.25;149.24;36.4;71.17;17.36;229.06;55.86;171.65;41.86;9.34;2.28;5.0;0.17;30;366.5;366.5;2094;1684;2434;286.03;69.76;124.01;30.24;245.43;59.85;164.62;40.15;157.37;38.38;150.18;36.62;102.5;25.0;0;0;loser;04752d46-7bdf-4543-85dd-853135b9dac8-players.csv
orange;kauareis8055;XBox;81d20cddfb010900;23;Octane;411;1247;7;2;13;7;4;4;53.85;328;48.55;2314;1758;556;23;51;526;387;139;4;13;64.0;62.32;183;557;22;1464;533827;196.94;48.02;172.98;42.18;40.16;9.79;224.21;54.67;170.84;41.66;15.03;3.67;3.65;0.3;12;366.7;366.7;1871;1564;2247;294.19;71.74;115.89;28.26;266.74;65.05;143.34;34.95;191.39;46.67;136.82;33.36;81.87;19.96;0;0;winner;04752d46-7bdf-4543-85dd-853135b9dac8-players.csv
blue;TTV.JackKnight;Epic;fd77809d06fb43248fce394dc2d0a948;4284;Fennec;395;1149;5;5;6;9;4;4;83.33;454;53.79;3148;2393;755;31;69;365;100;265;1;23;50.02;31.11;351;545;5;1542;534344;174.91;45.41;164.2;42.63;46.03;11.95;206.07;53.51;169.23;43.94;9.83;2.55;8.97;0.1;88;358.0;358.0;2090;1880;2351;307.2;79.77;77.93;20.23;235.95;61.27;149.18;38.73;170.77;44.34;128.09;33.26;86.28;22.4;2;3;winner;047747c9-ad47-416e-81ba-1a28dcf87bb2-players.csv
orange;IsmaelMC.;Epic;60c18aeab01941c19f41e1c47496bb36;23;Octane;395;779;4;0;9;6;5;5;44.44;449;45.75;2722;2148;574;30;50;333;149;184;2;16;40.1;43.78;513;855;50;1604;559637;161.85;41.9;149.94;38.82;74.45;19.28;196.86;50.97;176.11;45.6;13.27;3.44;8.88;0.12;74;357.9;357.9;1845;1602;2076;269.87;69.87;116.37;30.13;254.31;65.84;131.93;34.16;174.67;45.22;130.23;33.72;81.34;21.06;3;2;loser;047747c9-ad47-416e-81ba-1a28dcf87bb2-players.csv
blue;GottaHaveMojo;Epic;18a17173e9f54e08a993c54e911fbcd5;23;Octane;400;1120;7;1;11;5;3;3;63.64;507;44.9;3449;2813;636;36;56;780;561;219;9;20;55.24;45.15;357;705;344;1510;519993;175.0;45.37;161.52;41.88;49.16;12.75;233.31;60.49;149.08;38.65;3.3;0.86;8.22;0.19;43;359.6;359.6;1851;1722;2009;302.38;78.4;83.31;21.6;227.19;58.9;158.5;41.1;145.01;37.6;144.09;37.36;96.58;25.04;4;4;winner;04cd60a6-ed26-4053-a0de-ee6ca37b7d33-players.csv
orange;SpyroThyKing;Steam;76561198027851902;3622;Artemis GXT;400;809;3;3;5;11;7;7;60.0;418;50.27;2308;1714;594;22;56;626;420;206;5;20;48.5;46.07;240;404;90;1552;537006;169.26;43.71;166.71;43.05;51.24;13.23;211.58;54.64;159.06;41.08;16.57;4.28;4.11;0.15;27;359.6;359.6;2275;1757;2667;278.98;72.05;108.23;27.95;280.97;72.56;106.24;27.44;210.15;54.27;118.33;30.56;58.73;15.17;4;4;loser;04cd60a6-ed26-4053-a0de-ee6ca37b7d33-players.csv
blue;berfy.;Epic;e4fe5e0c98644213ad6213f802a53989;23;Octane;351;1086;6;1;12;3;2;2;50.0;445;52.5;2601;2112;489;30;45;1019;757;262;12;26;30.57;42.17;354;804;359;1512;484986;170.0;48.42;125.33;35.69;55.79;15.89;196.76;56.04;145.79;41.52;8.57;2.44;12.93;0.12;112;319.1;319.1;1572;1473;1664;283.53;80.75;67.6;19.25;159.48;45.42;191.65;54.58;108.23;30.82;110.45;31.46;132.44;37.72;0;0;winner;070567e1-8232-4ecd-aa99-5c6e2fba9dc0-players.csv
orange;LegalOffense;Epic;acf7b24c73804175945c6f1974d3682f;23;Octane;351;674;2;3;3;12;6;6;66.67;339;42.01;1719;1161;558;15;49;329;245;84;3;7;62.86;32.34;301;357;54;1339;428510;205.56;58.53;114.82;32.69;30.82;8.78;189.15;53.86;151.6;43.17;10.45;2.98;6.09;0.17;35;319.0;319.0;1855;1520;2089;238.35;67.87;112.85;32.13;250.49;71.33;100.7;28.67;195.35;55.63;99.67;28.38;56.17;15.99;0;0;loser;070567e1-8232-4ecd-aa99-5c6e2fba9dc0-players.csv
blue;Crutalious;Steam;76561198264335907;4284;Fennec;390;789;2;5;9;12;7;7;22.22;481;39.27;2876;2164;712;26;61;1072;761;311;9;27;60.17;40.3;226;440;143;1545;541771;180.74;46.37;145.67;37.37;63.36;16.26;194.28;49.84;175.49;45.02;20.0;5.13;7.48;0.18;41;353.6;353.6;1590;1382;1801;294.15;75.47;95.62;24.53;216.09;55.44;173.68;44.56;145.67;37.37;137.53;35.28;106.57;27.34;0;0;loser;0797d6e8-eddf-4f62-a62d-0ef06898d750-players.csv
orange;Dunk;Steam;76561198132806827;23;Octane;390;1568;7;6;12;9;2;2;58.33;390;46.17;2550;1870;680;23;61;509;226;283;3;23;44.98;47.73;174;338;85;1460;503524;197.29;51.18;149.13;38.68;39.1;10.14;211.92;54.97;158.42;41.09;15.18;3.94;4.67;0.15;32;348.9;348.9;1712;1623;1753;318.77;82.69;66.75;17.31;264.02;68.48;121.5;31.52;186.82;48.46;130.27;33.79;68.43;17.75;0;0;winner;0797d6e8-eddf-4f62-a62d-0ef06898d750-players.csv
blue;endermanrl;Epic;31807748d4f8456ba464f8bbe3b59606;4284;Fennec;414;1074;5;2;11;10;6;6;45.45;483;47.28;2929;2276;653;26;49;832;628;204;7;17;73.69;43.24;160;284;71;1487;542651;208.11;50.48;149.63;36.3;54.49;13.22;204.06;49.5;177.16;42.97;31.02;7.52;10.77;0.11;96;377.5;377.5;1666;1147;2226;298.47;72.4;113.76;27.6;253.78;61.56;158.46;38.44;191.92;46.56;116.59;28.28;103.73;25.16;0;0;loser;07b66c81-f77f-4d84-888d-b8118da560bf-players.csv
orange;Acroiii;PS4;Acroiii;4284;Fennec;414;1211;6;4;10;11;5;5;60.0;343;40.89;2011;1545;466;18;42;354;228;126;4;12;58.85;45.83;225;266;176;1421;512753;237.18;57.38;133.21;32.22;42.99;10.4;229.45;55.51;174.33;42.17;9.59;2.32;6.33;0.13;49;395.8;395.8;2025;1767;2298;323.1;78.16;90.27;21.84;257.81;62.37;155.56;37.63;206.52;49.96;108.55;26.26;98.3;23.78;0;0;winner;07b66c81-f77f-4d84-888d-b8118da560bf-players.csv
blue;toptoro RLO;Epic;28aeecaf490a4a6f9a9350ed7cf0a15c;4284;Fennec;240;1020;7;0;14;2;2;2;50.0;459;44.07;1476;1206;270;15;26;757;603;154;7;15;15.87;16.87;117;310;110;1540;312978;111.19;46.74;100.41;42.21;26.31;11.06;104.76;44.04;109.32;45.95;23.82;10.01;7.47;0.07;100;209.5;209.5;1547;1343;1891;201.07;84.52;36.84;15.48;100.07;42.06;137.84;57.94;66.41;27.91;81.26;34.16;90.24;37.93;1;0;winner;090a1d32-c71f-4ef0-aa6a-07d19a7bfa56-players.csv
orange;rellec;Steam;76561198803110632;23;Octane;240;653;2;5;2;14;7;7;100.0;406;36.69;1422;949;473;11;40;36;0;36;0;3;44.75;23.64;148;151;0;1558;301237;111.7;47.37;74.99;31.8;49.12;20.83;129.03;54.72;96.33;40.85;10.45;4.43;2.43;0.11;23;213.3;213.3;1663;1495;1785;155.85;66.09;79.96;33.91;200.96;85.22;34.85;14.78;151.11;64.08;68.18;28.91;16.52;7.01;0;1;loser;090a1d32-c71f-4ef0-aa6a-07d19a7bfa56-players.csv
blue;LotteryLogic;PS4;LotteryLogic;4284;Fennec;309;660;3;2;6;8;6;6;50.0;486;42.75;2287;1751;536;21;47;439;287;152;3;13;54.76;25.91;245;323;12;1560;421840;150.25;48.67;100.53;32.56;57.94;18.77;163.38;52.92;130.83;42.38;14.51;4.7;3.47;0.12;28;272.8;272.8;1602;1095;1877;225.71;73.11;83.01;26.89;191.94;62.17;116.78;37.83;137.32;44.48;108.79;35.24;62.62;20.28;1;0;loser;0974536a-6db5-4fba-b649-2db0e4d5b693-players.csv
orange;Luchales :);Steam;76561198451724022;23;Octane;309;1093;6;2;8;6;3;3;75.0;446;41.27;2075;1555;520;17;47;465;261;204;3;18;47.98;15.54;157;68;2;1503;402465;153.93;50.35;97.19;31.79;54.59;17.86;137.98;45.13;152.76;49.97;14.97;4.9;8.71;0.1;90;272.5;272.5;1739;1684;1826;243.97;79.8;61.74;20.2;185.69;60.74;120.02;39.26;131.42;42.99;100.04;32.72;74.24;24.29;0;1;winner;0974536a-6db5-4fba-b649-2db0e4d5b693-players.csv
blue;Steak;Steam;76561198129625389;23;Octane;428;1317;6;4;11;12;7;7;54.55;399;42.29;2539;1754;785;21;61;693;390;303;4;19;64.85;32.78;270;131;9;1528;562923;198.0;47.06;160.3;38.1;62.43;14.84;229.99;54.66;174.53;41.48;16.21;3.85;10.34;0.12;88;376.1;376.1;1933;1615;2177;306.46;72.84;114.27;27.16;276.53;65.73;144.2;34.27;195.6;46.49;142.42;33.85;82.71;19.66;1;2;loser;09c2ea41-8287-4e4f-84d2-537d112ea718-players.csv
orange;ApparentlydeanN;Epic;0eab6758263544fb83dcda17bd5f1df9;4284;Fennec;428;1453;7;4;12;11;6;6;58.33;514;39.83;3673;2995;678;35;59;869;651;218;7;19;62.97;32.89;304;510;48;1602;593811;189.8;44.86;153.51;36.29;79.74;18.85;214.07;50.6;194.84;46.06;14.14;3.34;9.73;0.14;68;379.3;379.3;1722;1483;1953;318.32;75.24;104.73;24.76;259.31;61.29;163.75;38.71;186.39;44.06;140.66;33.25;96.0;22.69;2;1;winner;09c2ea41-8287-4e4f-84d2-537d112ea718-players.csv
blue;*********;Steam;76561198339458317;4284;Fennec;245;1053;6;3;8;5;2;2;75.0;473;42.54;1745;1322;423;16;37;553;369;184;4;16;30.2;26.87;240;284;30;1541;328501;122.69;50.25;68.26;27.96;53.22;21.8;118.65;48.6;119.56;48.97;5.95;2.44;3.21;0.14;23;213.4;213.4;1724;1427;1920;199.02;81.51;45.14;18.49;144.01;58.98;100.16;41.02;96.3;39.44;89.95;36.84;57.91;23.72;0;0;winner;0a4da03b-1e9b-4dc5-ab04-5c36fa6b1dc9-players.csv
orange;******* :D;Steam;76561198379295878;4284;Fennec;245;521;2;2;5;8;6;6;40.0;399;40.88;1475;1103;372;13;33;205;132;73;2;7;21.62;15.48;174;115;0;1484;317336;126.46;51.77;80.33;32.89;37.48;15.34;128.71;52.69;112.82;46.19;2.73;1.12;5.55;0.1;58;213.5;213.5;1809;1614;1812;179.64;73.54;64.62;26.46;166.16;68.03;78.1;31.97;113.55;46.49;90.56;37.08;40.15;16.44;0;0;loser;0a4da03b-1e9b-4dc5-ab04-5c36fa6b1dc9-players.csv
blue;NunjaNXT;Epic;a55826eca68f416c86ce3974e60835e1;4284;Fennec;122;121;0;1;0;6;3;3;0.0;439;29.22;674;474;200;5;18;148;100;48;1;4;14.55;11.12;67;25;0;1419;137974;58.16;53.71;38.13;35.21;12.0;11.08;58.62;54.14;45.12;41.67;4.54;4.19;1.31;0.13;10;108.2;108.2;2319;1842;2382;66.25;61.18;42.03;38.82;77.8;71.85;30.48;28.15;59.73;55.16;30.91;28.55;17.64;16.29;0;0;loser;0af57517-7ea8-48da-887b-db2308945600-players.csv
orange;Kizr_o;Epic;8f45875f115d4ac3952f12d1533bf990;4284;Fennec;122;479;3;0;6;0;0;0;50.0;486;51.77;1072;894;178;12;17;188;87;101;2;10;6.64;21.12;70;212;112;1626;179471;50.19;41.06;47.09;38.53;24.95;20.41;59.86;48.97;59.57;48.74;2.8;2.29;1.49;0.11;14;108.0;108.0;1695;1692;1654;104.99;85.9;17.23;14.1;50.91;41.65;71.32;58.35;30.4;24.87;54.62;44.69;37.2;30.44;0;0;winner;0af57517-7ea8-48da-887b-db2308945600-players.csv
blue;Mr Giyu!!!;Steam;76561198784847286;4284;Fennec;156;846;6;0;6;1;1;1;100.0;372;39.52;965;805;160;9;16;251;208;43;3;4;0.0;3.18;27;94;91;1430;178414;87.03;57.25;47.03;30.93;17.97;11.82;67.16;44.18;73.16;48.12;11.71;7.7;4.4;0.06;70;130.8;130.8;1698;1364;2130;132.09;86.88;19.94;13.12;80.59;53.01;71.45;46.99;53.61;35.26;49.51;32.57;48.91;32.17;0;0;winner;0c67ab89-5ce8-43a1-b279-7fc8dda88942-players.csv
orange;t.tv/falconnRL (live);Steam;76561199085230175;4284;Fennec;156;188;1;0;1;6;6;6;100.0;384;30.69;777;509;268;6;25;78;0;78;0;8;36.62;11.88;60;90;0;1489;190675;86.63;55.63;46.52;29.87;22.57;14.49;75.37;48.4;72.56;46.59;7.8;5.01;2.33;0.16;15;126.8;126.8;1795;1504;1889;99.62;63.97;56.1;36.03;118.35;76.0;37.37;24.0;76.48;49.11;60.88;39.09;18.37;11.8;0;0;loser;0c67ab89-5ce8-43a1-b279-7fc8dda88942-players.csv
blue;Spooky_Tobs;Epic;71af9ac16b3c446986f63094660ce621;4284;Fennec;445;1058;7;0;11;9;8;8;63.64;457;45.74;3561;2755;806;36;72;1004;594;410;9;32;39.3;62.4;427;701;251;1604;608523;194.81;44.28;164.09;37.3;81.03;18.42;230.37;52.37;180.37;41.0;29.19;6.64;6.7;0.11;60;386.2;386.2;1753;1262;2109;297.91;67.72;142.03;32.28;257.42;58.51;182.52;41.49;178.79;40.64;143.59;32.64;117.55;26.72;1;1;loser;0c787534-39fa-414a-94f4-5e1c64ef8137-players.csv
orange;Leoncito70;PS4;Leoncito70;4284;Fennec;445;1375;8;3;9;11;7;7;88.89;388;41.96;2768;2159;609;26;53;464;330;134;4;12;61.8;49.09;430;443;69;1517;579206;221.6;50.19;150.6;34.11;69.32;15.7;203.54;46.1;218.01;49.38;19.96;4.52;6.06;0.14;42;386.4;386.4;1975;1659;2361;345.75;78.31;95.77;21.69;304.35;68.93;137.17;31.07;219.59;49.74;138.38;31.34;83.55;18.92;1;1;winner;0c787534-39fa-414a-94f4-5e1c64ef8137-players.csv
blue;SC156;Epic;4e67f3631a834088a32924e3f82fc9ad;23;Octane;49;272;2;0;2;0;0;0;100.0;527;36.5;346;300;46;3;4;224;200;24;2;2;7.33;2.44;34;0;0;1520;63732;24.24;48.52;20.57;41.17;5.15;10.31;30.64;61.32;19.33;38.68;0.0;0.0;2.0;0.15;13;39.3;39.3;1327;1224;844;42.8;85.65;7.17;14.35;18.97;37.96;31.0;62.04;14.44;28.9;9.8;19.61;25.73;51.49;0;0;winner;0cdb0adc-449a-4b9f-aecd-1c8de92543e5-players.csv
orange;Bigvibz;Epic;ce36a2322f6e4473a91b23a52ac65b81;4284;Fennec;49;8;0;0;0;2;2;2;0.0;319;35.15;272;200;72;2;6;11;0;11;0;1;13.67;1.17;10;0;0;1325;52364;30.15;63.63;14.63;30.88;2.6;5.49;30.71;64.82;16.67;35.18;0.0;0.0;0.97;0.14;7;39.3;39.3;1940;630;2098;35.57;75.09;11.8;24.91;40.27;85.01;7.1;14.99;33.77;71.29;13.6;28.71;0.0;0.0;0;0;loser;0cdb0adc-449a-4b9f-aecd-1c8de92543e5-players.csv
blue;SC156;Epic;4e67f3631a834088a32924e3f82fc9ad;23;Octane;393;1108;6;1;10;4;4;4;60.0;447;41.39;2610;1932;678;25;63;768;512;256;7;23;66.56;26.36;430;477;107;1556;545661;168.32;43.31;161.23;41.49;59.07;15.2;204.99;52.75;167.66;43.14;15.98;4.11;7.23;0.1;69;353.9;353.9;1507;1429;1590;286.84;73.81;101.79;26.19;225.28;57.97;163.35;42.03;169.32;43.57;108.41;27.9;110.9;28.54;0;1;winner;0e9552b8-b340-473d-a4d7-22448be4f2d9-players.csv
orange;Real__Chiv0;PS4;Real__Chiv0;23;Octane;393;855;4;2;4;10;6;6;100.0;418;35.15;2383;1774;609;20;52;656;399;257;4;22;109.55;26.86;367;162;3;1501;530594;195.35;49.9;130.72;33.39;65.39;16.7;195.79;50.02;174.99;44.7;20.68;5.28;4.7;0.08;61;353.8;353.8;1636;1185;1945;276.84;70.72;114.62;29.28;233.35;59.61;158.11;40.39;167.96;42.91;125.35;32.02;98.15;25.07;1;0;loser;0e9552b8-b340-473d-a4d7-22448be4f2d9-players.csv
blue;Mgc_thrt;Epic;90e48ce6dbb545578fb2d07052e84f7d;4284;Fennec;102;204;0;2;1;4;1;1;0.0;522;46.72;825;600;225;8;14;12;0;12;0;1;18.65;13.73;301;199;0;1629;158428;35.1;34.42;52.42;51.4;14.47;14.19;63.49;62.25;36.25;35.54;2.25;2.21;1.54;0.17;9;99.2;99.2;1448;787;1762;68.63;67.29;33.36;32.71;82.87;81.25;19.12;18.75;65.32;64.05;29.47;28.89;7.2;7.06;1;0;loser;0eeeea25-1d0f-4d7b-826d-91325e5ad91d-players.csv
orange;drtacolover29;Epic;59959084fb4a414a9ca28115242cd0c8;23;Octane;102;287;1;1;4;1;0;0;25.0;463;46.34;794;535;259;7;23;368;185;183;2;16;2.84;8.7;43;136;14;1539;142834;38.22;38.57;50.3;50.76;10.58;10.68;63.77;64.36;35.32;35.64;0.0;0.0;2.3;0.16;14;95.2;95.2;2186;1392;3218;83.03;83.78;16.07;16.22;44.94;45.35;54.16;54.65;28.45;28.71;37.11;37.45;33.54;33.84;0;1;winner;0eeeea25-1d0f-4d7b-826d-91325e5ad91d-players.csv
blue;BluScr3n;Steam;76561197968903875;4284;Fennec;248;717;3;3;4;9;7;7;75.0;412;43.67;1581;1180;401;13;38;123;100;23;1;2;31.64;11.98;148;125;0;1471;307818;129.9;52.72;80.59;32.71;35.89;14.57;136.43;55.37;106.58;43.26;3.37;1.37;4.69;0.12;39;208.0;208.0;2140;1846;2423;190.5;77.32;55.88;22.68;199.88;81.13;46.5;18.87;150.19;60.96;78.77;31.97;17.42;7.07;0;0;loser;105c9cf7-817b-4769-abe3-befe457ee5da-players.csv
orange;Plant.;Steam;76561198091612555;4284;Fennec;248;1090;7;1;9;4;3;3;77.78;395;38.64;1722;1246;476;13;46;533;370;163;4;16;43.58;14.56;95;51;29;1406;293951;143.92;58.24;79.75;32.27;23.44;9.49;132.19;53.5;108.21;43.79;6.7;2.71;8.23;0.16;51;208.1;208.1;1727;1436;2027;196.31;79.44;50.8;20.56;140.84;56.99;106.27;43.01;88.09;35.65;80.87;32.73;78.15;31.63;0;0;winner;105c9cf7-817b-4769-abe3-befe457ee5da-players.csv
blue;1000-7;Steam;76561198271826460;4284;Fennec;322;825;3;4;6;12;7;7;50.0;484;43.45;2185;1654;531;22;47;582;401;181;5;16;44.93;29.77;364;414;98;1543;434212;144.0;45.15;125.24;39.27;49.69;15.58;167.92;52.65;132.06;41.41;18.95;5.94;5.91;0.1;57;287.8;287.8;1552;1103;1866;222.46;69.75;96.46;30.25;192.15;60.25;126.78;39.75;145.34;45.57;91.47;28.68;82.12;25.75;1;0;loser;10bdec1d-1ffa-4c6f-88a6-4439de092cb4-players.csv
orange;Esel Bummser;Epic;a6330d04cf1f4a83813509c274e01132;4284;Fennec;322;1234;7;2;12;6;3;3;58.33;380;42.27;1788;1286;502;16;49;491;324;167;4;15;54.87;9.42;248;313;75;1514;425881;154.14;48.3;132.93;41.66;32.03;10.04;147.32;46.17;144.26;45.21;27.52;8.62;5.41;0.06;98;284.3;284.3;1330;1225;1475;242.53;76.0;76.58;24.0;194.77;61.04;124.34;38.96;151.13;47.36;77.21;24.2;90.77;28.44;0;1;winner;10bdec1d-1ffa-4c6f-88a6-4439de092cb4-players.csv
blue;giannutri123;PS4;giannutri123;23;Octane;118;106;0;0;1;4;4;4;0.0;447;48.14;781;565;216;6;21;144;81;63;1;6;17.66;8.64;61;70;27;1621;162099;47.88;41.44;46.56;40.3;21.1;18.26;52.97;45.85;52.7;45.61;9.87;8.54;1.83;0.09;21;100.3;100.3;1662;1220;2115;81.51;70.55;34.03;29.45;70.14;60.7;45.41;39.3;47.24;40.88;38.46;33.28;29.85;25.83;0;0;loser;113df465-717c-4e41-86b6-cb3e41da8f5f-players.csv
orange;RosettenRasen;Epic;8b320dbcb3ab4f389990065a25086ac5;4284;Fennec;118;627;4;1;4;1;0;0;100.0;501;43.34;780;629;151;8;14;163;140;23;2;2;7.2;10.69;174;72;60;1661;171457;48.4;40.96;38.3;32.41;31.47;26.63;55.48;46.95;53.71;45.45;8.98;7.6;2.1;0.07;32;100.4;100.4;1524;1268;1828;88.46;74.86;29.71;25.14;76.99;65.15;41.19;34.85;55.03;46.57;37.39;31.64;25.75;21.79;0;0;winner;113df465-717c-4e41-86b6-cb3e41da8f5f-players.csv
blue;Leoncito70;PS4;Leoncito70;4284;Fennec;403;423;2;2;2;12;7;7;100.0;330;46.17;1950;1389;561;15;50;369;252;117;3;10;60.93;35.23;98;136;50;1314;476274;247.47;61.52;127.92;31.8;26.89;6.68;236.81;58.87;155.94;38.76;9.54;2.37;7.53;0.14;53;365.8;365.8;2232;1655;2332;272.33;67.69;129.96;32.31;299.94;74.56;102.35;25.44;229.94;57.16;121.34;30.16;51.01;12.68;0;0;loser;1330b8f2-09de-44d6-9b1f-60527a0d3b57-players.csv
orange;Spooky_Tobs;Epic;71af9ac16b3c446986f63094660ce621;4284;Fennec;403;1294;7;0;12;2;2;2;58.33;562;48.17;3523;2929;594;37;41;1468;1129;339;15;18;31.75;57.3;217;607;296;1544;562417;174.88;43.48;170.66;42.43;56.69;14.09;173.79;43.21;172.48;42.88;55.96;13.91;5.7;0.15;37;365.8;365.8;1217;1026;1920;279.82;69.57;122.41;30.43;183.74;45.68;218.49;54.32;125.92;31.3;115.55;28.73;160.77;39.97;0;0;winner;1330b8f2-09de-44d6-9b1f-60527a0d3b57-players.csv
blue;DjGrizzz;Epic;27897cf3ef684315b25a1a96270db9a0;23;Octane;361;871;2;5;12;9;4;4;16.67;538;50.23;3158;2514;644;34;58;982;697;285;9;26;40.33;25.72;507;710;110;1701;568621;120.08;33.29;159.82;44.31;80.76;22.39;193.72;53.71;153.89;42.67;13.05;3.62;6.57;0.08;78;335.0;335.0;1718;1352;2093;277.84;77.04;82.82;22.96;204.1;56.59;156.56;43.41;134.56;37.31;121.68;33.74;104.41;28.95;2;0;loser;13604419-534d-4410-be9a-41ad58eb1447-players.csv
orange;Plant.;Steam;76561198091612555;4284;Fennec;361;1380;4;8;9;12;2;2;44.44;460;42.57;2637;1871;766;23;71;444;178;266;3;24;41.15;31.55;271;231;54;1568;511740;150.58;42.64;142.42;40.33;60.18;17.04;196.45;55.62;147.48;41.76;9.25;2.62;10.08;0.14;70;335.0;335.0;1654;1353;2004;284.19;80.47;68.99;19.53;239.59;67.84;113.59;32.16;182.17;51.58;109.37;30.97;61.65;17.46;0;2;winner;13604419-534d-4410-be9a-41ad58eb1447-players.csv
blue;SpyroThyKing;Steam;76561198027851902;3622;Artemis GXT;383;903;5;1;11;7;4;4;45.45;444;44.66;2716;2148;568;26;50;521;272;249;4;22;38.82;39.67;680;363;138;1582;539394;158.14;41.84;149.39;39.53;70.39;18.63;206.31;54.59;167.26;44.26;4.34;1.15;4.17;0.12;34;346.3;346.3;1974;1892;2064;277.82;73.51;100.1;26.49;215.93;57.14;161.99;42.86;158.49;41.94;120.11;31.78;99.32;26.28;2;1;winner;13baa095-14d3-4c4c-9fc7-5cbd04b08ef4-players.csv
