color;player name;platform;player id;car id;car name;game duration;score;goals;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken;result;source_file
orange;ballerboi_209;Epic;522bc3c392bb410c8a9a512e20abf90f;21;Backfire;342;609;2;3;2;9;7;7;100.0;291;52.57;1555;1214;341;15;32;243;134;109;2;9;27.54;43.08;218;316;65;1187;358486;226.5;68.07;92.29;27.73;13.97;4.2;194.4;58.42;136.07;40.89;2.29;0.69;1.22;0.41;3;309.9;309.9;2200;1667;2570;225.42;67.74;107.34;32.26;232.67;69.92;100.1;30.08;173.82;52.24;102.3;30.74;56.64;17.02;0;2;loser;3598c224-8a33-4186-8e98-e7a80d8eb433-players.csv
blue;Nietha;Steam;76561198004708120;23;Octane;423;905;5;0;10;11;9;9;50.0;391;44.25;2791;2040;751;27;67;923;562;361;8;31;31.83;41.8;384;529;147;1569;579745;185.73;44.0;180.23;42.69;56.18;13.31;237.83;56.34;174.81;41.41;9.49;2.25;7.61;0.12;63;368.7;368.7;1939;1475;2281;288.28;68.29;133.86;31.71;234.02;55.44;188.12;44.56;159.41;37.76;135.46;32.09;127.27;30.15;1;0;loser;35fca42b-ba21-40d7-8448-bfdc2ec5c8ae-players.csv
orange;ShlimperShlinky;Epic;69951f4f27644d2ab709311cc173fb84;4284;Fennec;423;1620;9;4;11;10;5;5;81.82;391;40.91;2663;1947;716;26;62;563;322;241;4;20;75.6;33.77;395;652;77;1539;564655;194.5;46.37;169.38;40.38;55.56;13.25;242.63;57.85;164.72;39.27;12.09;2.88;8.13;0.16;52;368.6;368.6;2190;2124;2218;319.99;76.29;99.44;23.71;296.95;70.8;122.48;29.2;230.77;55.02;113.25;27.0;75.41;17.98;0;1;winner;35fca42b-ba21-40d7-8448-bfdc2ec5c8ae-players.csv
blue;g r d .;Epic;86e88dc35eee4b2f9d5ff693165baac7;4284;Fennec;187;177;0;2;1;7;5;5;0.0;389;39.84;1178;979;199;12;18;50;0;50;0;5;41.77;19.1;90;220;0;1523;250826;88.85;47.52;65.69;35.13;32.45;17.35;90.41;48.35;88.01;47.06;8.58;4.59;2.77;0.06;49;165.0;165.0;1662;734;1935;124.63;66.65;62.36;33.35;136.23;72.85;50.76;27.15;86.33;46.17;77.1;41.23;23.56;12.6;1;0;loser;3679f285-ccb1-4cad-82a6-de2891081847-players.csv
orange;Flowsen;Steam;76561197993140621;4284;Fennec;187;805;5;1;7;1;0;0;71.43;433;48.14;1272;995;277;14;28;546;442;104;7;11;10.9;15.63;177;233;122;1594;256275;79.2;43.07;68.79;37.41;35.9;19.52;90.3;49.11;86.15;46.85;7.44;4.05;2.97;0.1;31;165.0;165.0;1327;1291;1389;164.13;89.25;19.76;10.75;105.77;57.52;78.12;42.48;66.9;36.38;70.96;38.59;46.03;25.03;0;1;winner;3679f285-ccb1-4cad-82a6-de2891081847-players.csv
blue;**************;Epic;92cfa32c7ea64f4fb4eef067dbec1033;23;Octane;142;184;1;0;1;6;4;4;100.0;379;39.27;867;595;272;7;25;142;95;47;1;4;6.7;12.5;77;111;4;1499;185513;72.68;51.01;50.42;35.39;19.37;13.6;73.07;51.29;63.86;44.83;5.53;3.88;2.14;0.1;22;121.3;121.3;1958;1409;2393;98.25;68.97;44.21;31.03;104.86;73.6;37.61;26.4;74.67;52.41;53.42;37.5;14.38;10.09;0;0;loser;36c9acb2-3642-4165-805c-9e329cbf137f-players.csv
orange;goozie5;Epic;87492611418048b1915ca2fa1c05afe2;4284;Fennec;142;543;4;0;6;1;1;1;66.67;506;36.43;1163;899;264;11;23;298;180;118;2;10;21.12;8.68;74;43;0;1590;196230;63.56;44.58;55.35;38.82;23.67;16.6;60.22;42.24;73.95;51.87;8.41;5.9;3.6;0.11;34;121.3;121.3;1838;1255;2349;112.97;79.23;29.61;20.77;78.99;55.4;63.6;44.6;48.13;33.76;51.93;36.42;42.52;29.82;0;0;winner;36c9acb2-3642-4165-805c-9e329cbf137f-players.csv
blue;SC156;Epic;4e67f3631a834088a32924e3f82fc9ad;23;Octane;451;1519;7;6;13;14;8;8;53.85;406;39.4;2849;2142;707;24;63;555;336;219;4;19;53.09;47.54;187;172;43;1414;550459;251.93;55.95;151.17;33.57;47.19;10.48;266.17;59.11;172.67;38.35;11.45;2.54;11.36;0.13;88;395.3;395.3;1771;1529;2055;352.82;78.35;97.47;21.65;289.8;64.36;160.48;35.64;201.25;44.69;159.7;35.47;89.33;19.84;0;0;loser;36f6b7dd-16c7-46ae-80c2-a258277e1959-players.csv
orange;Gummyzilla 011;Epic;bd817a4353c24528b866d1202c2aabff;23;Octane;451;1748;8;8;14;13;7;7;57.14;325;53.0;2652;2067;585;26;52;239;71;168;1;15;29.72;69.99;61;472;40;1415;551430;257.67;57.22;162.87;36.17;29.78;6.61;254.79;56.58;178.11;39.55;17.42;3.87;19.52;0.18;110;391.7;391.7;1898;1729;2053;369.52;82.06;80.8;17.94;312.58;69.41;137.74;30.59;212.06;47.09;158.68;35.24;79.58;17.67;0;0;winner;36f6b7dd-16c7-46ae-80c2-a258277e1959-players.csv
blue;Chicken;Steam;76561198389415182;4284;Fennec;394;1014;3;5;8;12;6;6;37.5;485;44.64;3001;2390;611;30;55;876;594;282;7;25;39.05;51.33;438;482;105;1529;540198;177.7;45.5;140.63;36.01;72.23;18.49;191.95;49.15;178.83;45.79;19.78;5.06;6.55;0.12;56;361.9;361.9;1354;1017;1721;271.9;69.62;118.67;30.38;250.17;64.05;140.39;35.95;186.09;47.65;109.34;28.0;95.13;24.36;0;1;loser;370a4994-cca3-4ba4-9991-472d897eb265-players.csv
